,Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
386,vit,P100,TinyImageNet,43,2.508723711307087
387,vit,V100,TinyImageNet,43,2.719116472362199
388,vit,P100,TinyImageNet,44,2.5200247950456194
389,vit,V100,TinyImageNet,44,2.7086359011268444
390,vit,P100,TinyImageNet,45,2.5175530052740815
391,vit,V100,TinyImageNet,45,2.7421454728564925
392,vit,P100,TinyImageNet,46,2.536955164263141
393,vit,V100,TinyImageNet,46,2.7376213850489006
394,vit,P100,TinyImageNet,47,2.507259708895579
395,vit,V100,TinyImageNet,47,2.728626633576152
396,vit,P100,TinyImageNet,48,2.5195535756162486
397,vit,V100,TinyImageNet,48,2.7126675918304315
398,vit,P100,TinyImageNet,49,2.5034616493997772
399,vit,V100,TinyImageNet,49,2.7388714721784666
400,vit,P100,TinyImageNet,50,2.540909374852366
401,vit,V100,TinyImageNet,50,2.684702494138649
402,vit,P100,TinyImageNet,51,2.511443951820977
403,vit,V100,TinyImageNet,51,2.701556701126061
404,vit,P100,TinyImageNet,52,2.501075029442667
405,vit,V100,TinyImageNet,52,2.731868392371813
406,vit,P100,TinyImageNet,53,2.501826971451278
407,vit,V100,TinyImageNet,53,2.7087236248511553
408,vit,P100,TinyImageNet,54,2.5164048711306966
409,vit,V100,TinyImageNet,54,2.679229402655756
410,vit,P100,TinyImageNet,55,2.49249216850619
411,vit,V100,TinyImageNet,55,2.6837843268227317
412,vit,P100,TinyImageNet,56,2.4685867122450484
413,vit,V100,TinyImageNet,56,2.6910712052697288
414,vit,P100,TinyImageNet,57,2.478138227455743
415,vit,V100,TinyImageNet,57,2.692467407566266
416,vit,P100,TinyImageNet,58,2.4794336133380246
417,vit,V100,TinyImageNet,58,2.6641767253467967
418,vit,P100,TinyImageNet,59,2.4666422124326806
419,vit,V100,TinyImageNet,59,2.6755195737905866
420,vit,P100,TinyImageNet,60,2.4946792749789437
421,vit,V100,TinyImageNet,60,2.6143523034190377
422,vit,P100,TinyImageNet,61,2.4590896007151275
423,vit,V100,TinyImageNet,61,2.6537324442354375
424,vit,P100,TinyImageNet,62,2.4423776574518077
425,vit,V100,TinyImageNet,62,2.665453885104403
426,vit,P100,TinyImageNet,63,2.4741083376490027
427,vit,V100,TinyImageNet,63,2.6333219182880385
428,vit,P100,TinyImageNet,64,2.4402879248527487
429,vit,V100,TinyImageNet,64,2.635355929375053
430,vit,P100,TinyImageNet,65,2.440073539617139
431,vit,V100,TinyImageNet,65,2.621830552671679
432,vit,P100,TinyImageNet,66,2.464825676690878
433,vit,V100,TinyImageNet,66,2.6633556273018533
434,vit,P100,TinyImageNet,67,2.4617634020632075
435,vit,V100,TinyImageNet,67,2.619950736450761
436,vit,P100,TinyImageNet,68,2.468661493159983
437,vit,V100,TinyImageNet,68,2.6220893473741764
438,vit,P100,TinyImageNet,69,2.449541173015524
439,vit,V100,TinyImageNet,69,2.584083753349982
440,vit,P100,TinyImageNet,70,2.4246383375131595
441,vit,V100,TinyImageNet,70,2.6217721510686727
442,vit,P100,TinyImageNet,71,2.4585025610700066
443,vit,V100,TinyImageNet,71,2.603121481914371
444,vit,P100,TinyImageNet,72,2.4623332532446756
445,vit,V100,TinyImageNet,72,2.5932181635855445
446,vit,P100,TinyImageNet,73,2.43606747100905
447,vit,V100,TinyImageNet,73,2.6151037241152015
448,vit,P100,TinyImageNet,74,2.4363278153598396
449,vit,V100,TinyImageNet,74,2.5882645858513715
450,vit,P100,TinyImageNet,75,2.454802763479948
451,vit,V100,TinyImageNet,75,2.618376397422708
452,vit,P100,TinyImageNet,76,2.4421072854456503
453,vit,V100,TinyImageNet,76,2.598320792226453
454,vit,P100,TinyImageNet,77,2.446351578436301
455,vit,V100,TinyImageNet,77,2.6016529825060197
456,vit,P100,TinyImageNet,78,2.4231662514759447
457,vit,V100,TinyImageNet,78,2.609964740888444
458,vit,P100,TinyImageNet,79,2.43622412776506
459,vit,V100,TinyImageNet,79,2.5605104750013212
460,vit,P100,TinyImageNet,80,2.4577189810643043
461,vit,V100,TinyImageNet,80,2.611140910971007
462,vit,P100,TinyImageNet,81,2.4314148536928375
463,vit,V100,TinyImageNet,81,2.545661354378674
464,vit,P100,TinyImageNet,82,2.4420844701931395
465,vit,V100,TinyImageNet,82,2.563324528983864
466,vit,P100,TinyImageNet,83,2.4318980993040507
467,vit,V100,TinyImageNet,83,2.593459429912862
468,vit,P100,TinyImageNet,84,2.4298247760285636
469,vit,V100,TinyImageNet,84,2.566256555438965
470,vit,P100,TinyImageNet,85,2.441100557577014
471,vit,V100,TinyImageNet,85,2.5370859762361597
472,vit,P100,TinyImageNet,86,2.432630363318822
473,vit,V100,TinyImageNet,86,2.590123390961094
474,vit,P100,TinyImageNet,87,2.4194083629592935
475,vit,V100,TinyImageNet,87,2.5692640108035243
476,vit,P100,TinyImageNet,88,2.4402074947264754
477,vit,V100,TinyImageNet,88,2.5473886139236646
478,vit,P100,TinyImageNet,89,2.397351938964824
479,vit,V100,TinyImageNet,89,2.5838641280328454
480,vit,P100,TinyImageNet,90,2.404458271401209
481,vit,V100,TinyImageNet,90,2.5662625553681826
482,vit,P100,TinyImageNet,91,2.399353703763628
483,vit,V100,TinyImageNet,91,2.552696549108586
484,vit,P100,TinyImageNet,92,2.4366824622147716
485,vit,V100,TinyImageNet,92,2.5475449165576247
486,vit,P100,TinyImageNet,93,2.411911094024423
487,vit,V100,TinyImageNet,93,2.553998697682566
488,vit,P100,TinyImageNet,94,2.38800169111205
489,vit,V100,TinyImageNet,94,2.526651651346706
490,vit,P100,TinyImageNet,95,2.422811926436161
491,vit,V100,TinyImageNet,95,2.544373397094148
492,vit,P100,TinyImageNet,96,2.391016542428778
493,vit,V100,TinyImageNet,96,2.556930450242922
494,vit,P100,TinyImageNet,97,2.426593825759074
495,vit,V100,TinyImageNet,97,2.534671065625063
496,vit,P100,TinyImageNet,98,2.428800173048552
497,vit,V100,TinyImageNet,98,2.552315920961499
498,vit,P100,TinyImageNet,99,2.4447992777831473
499,vit,V100,TinyImageNet,99,2.5473448329140935
500,deformable_vit,K80,TinyImageNet,0,4.270865374714982
501,deformable_vit,K80,cifar100,0,4.1484488143399245
502,deformable_vit,K80,cifar10,0,1.7922384921665035
503,deformable_vit,K80,TinyImageNet,1,4.150630451926435
504,deformable_vit,K80,cifar100,1,3.8623204793381642
505,deformable_vit,K80,cifar10,1,1.7130689551096359
506,deformable_vit,K80,TinyImageNet,2,4.064469028980419
