Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
vit,P100,TinyImageNet,44,2.5200247950456194
vit,V100,TinyImageNet,44,2.7086359011268444
vit,P100,TinyImageNet,45,2.517553005274081
vit,V100,TinyImageNet,45,2.7421454728564925
vit,P100,TinyImageNet,46,2.536955164263141
vit,V100,TinyImageNet,46,2.7376213850489006
vit,P100,TinyImageNet,47,2.507259708895579
vit,V100,TinyImageNet,47,2.728626633576152
vit,P100,TinyImageNet,48,2.5195535756162486
vit,V100,TinyImageNet,48,2.7126675918304315
vit,P100,TinyImageNet,49,2.503461649399777
vit,V100,TinyImageNet,49,2.7388714721784666
vit,P100,TinyImageNet,50,2.540909374852366
vit,V100,TinyImageNet,50,2.684702494138649
vit,P100,TinyImageNet,51,2.511443951820977
vit,V100,TinyImageNet,51,2.701556701126061
vit,P100,TinyImageNet,52,2.501075029442667
vit,V100,TinyImageNet,52,2.731868392371813
vit,P100,TinyImageNet,53,2.501826971451278
vit,V100,TinyImageNet,53,2.708723624851156
vit,P100,TinyImageNet,54,2.516404871130697
vit,V100,TinyImageNet,54,2.679229402655756
vit,P100,TinyImageNet,55,2.49249216850619
vit,V100,TinyImageNet,55,2.683784326822732
vit,P100,TinyImageNet,56,2.4685867122450484
vit,V100,TinyImageNet,56,2.6910712052697288
vit,P100,TinyImageNet,57,2.478138227455743
vit,V100,TinyImageNet,57,2.692467407566266
vit,P100,TinyImageNet,58,2.4794336133380246
vit,V100,TinyImageNet,58,2.6641767253467967
vit,P100,TinyImageNet,59,2.466642212432681
vit,V100,TinyImageNet,59,2.6755195737905866
vit,P100,TinyImageNet,60,2.494679274978944
vit,V100,TinyImageNet,60,2.6143523034190377
vit,P100,TinyImageNet,61,2.4590896007151275
vit,V100,TinyImageNet,61,2.653732444235437
vit,P100,TinyImageNet,62,2.442377657451808
vit,V100,TinyImageNet,62,2.665453885104403
vit,P100,TinyImageNet,63,2.4741083376490027
vit,V100,TinyImageNet,63,2.6333219182880385
vit,P100,TinyImageNet,64,2.4402879248527487
vit,V100,TinyImageNet,64,2.635355929375053
vit,P100,TinyImageNet,65,2.440073539617139
vit,V100,TinyImageNet,65,2.621830552671679
vit,P100,TinyImageNet,66,2.464825676690878
vit,V100,TinyImageNet,66,2.6633556273018533
vit,P100,TinyImageNet,67,2.4617634020632075
vit,V100,TinyImageNet,67,2.619950736450761
vit,P100,TinyImageNet,68,2.468661493159983
vit,V100,TinyImageNet,68,2.6220893473741764
vit,P100,TinyImageNet,69,2.449541173015524
vit,V100,TinyImageNet,69,2.584083753349982
vit,P100,TinyImageNet,70,2.4246383375131595
vit,V100,TinyImageNet,70,2.6217721510686727
vit,P100,TinyImageNet,71,2.458502561070006
vit,V100,TinyImageNet,71,2.603121481914371
vit,P100,TinyImageNet,72,2.462333253244676
vit,V100,TinyImageNet,72,2.5932181635855445
vit,P100,TinyImageNet,73,2.43606747100905
vit,V100,TinyImageNet,73,2.615103724115201
vit,P100,TinyImageNet,74,2.43632781535984
vit,V100,TinyImageNet,74,2.5882645858513715
vit,P100,TinyImageNet,75,2.454802763479948
vit,V100,TinyImageNet,75,2.618376397422708
vit,P100,TinyImageNet,76,2.4421072854456503
vit,V100,TinyImageNet,76,2.598320792226453
vit,P100,TinyImageNet,77,2.446351578436301
vit,V100,TinyImageNet,77,2.60165298250602
vit,P100,TinyImageNet,78,2.4231662514759447
vit,V100,TinyImageNet,78,2.609964740888444
vit,P100,TinyImageNet,79,2.43622412776506
vit,V100,TinyImageNet,79,2.560510475001321
vit,P100,TinyImageNet,80,2.4577189810643043
vit,V100,TinyImageNet,80,2.611140910971007
vit,P100,TinyImageNet,81,2.431414853692837
vit,V100,TinyImageNet,81,2.545661354378674
vit,P100,TinyImageNet,82,2.4420844701931395
vit,V100,TinyImageNet,82,2.563324528983864
vit,P100,TinyImageNet,83,2.4318980993040507
vit,V100,TinyImageNet,83,2.593459429912862
vit,P100,TinyImageNet,84,2.429824776028564
vit,V100,TinyImageNet,84,2.566256555438965
vit,P100,TinyImageNet,85,2.441100557577014
vit,V100,TinyImageNet,85,2.53708597623616
vit,P100,TinyImageNet,86,2.432630363318822
vit,V100,TinyImageNet,86,2.590123390961094
vit,P100,TinyImageNet,87,2.419408362959293
vit,V100,TinyImageNet,87,2.5692640108035243
vit,P100,TinyImageNet,88,2.440207494726476
vit,V100,TinyImageNet,88,2.547388613923665
vit,P100,TinyImageNet,89,2.397351938964824
vit,V100,TinyImageNet,89,2.5838641280328454
vit,P100,TinyImageNet,90,2.404458271401209
vit,V100,TinyImageNet,90,2.5662625553681826
vit,P100,TinyImageNet,91,2.399353703763628
vit,V100,TinyImageNet,91,2.552696549108586
vit,P100,TinyImageNet,92,2.436682462214772
vit,V100,TinyImageNet,92,2.5475449165576247
vit,P100,TinyImageNet,93,2.411911094024423
vit,V100,TinyImageNet,93,2.553998697682566
vit,P100,TinyImageNet,94,2.38800169111205
vit,V100,TinyImageNet,94,2.526651651346706
vit,P100,TinyImageNet,95,2.422811926436161
vit,V100,TinyImageNet,95,2.544373397094148
vit,P100,TinyImageNet,96,2.391016542428778
vit,V100,TinyImageNet,96,2.556930450242922
vit,P100,TinyImageNet,97,2.426593825759074
vit,V100,TinyImageNet,97,2.534671065625063
vit,P100,TinyImageNet,98,2.428800173048552
vit,V100,TinyImageNet,98,2.552315920961499
vit,P100,TinyImageNet,99,2.444799277783148
vit,V100,TinyImageNet,99,2.547344832914093
deformable_vit,K80,TinyImageNet,0,4.270865374714982
deformable_vit,K80,cifar100,0,4.1484488143399245
deformable_vit,K80,cifar10,0,1.7922384921665035
deformable_vit,K80,TinyImageNet,1,4.150630451926435
deformable_vit,K80,cifar100,1,3.862320479338164
deformable_vit,K80,cifar10,1,1.713068955109636
deformable_vit,K80,TinyImageNet,2,4.064469028980419
deformable_vit,K80,cifar100,2,3.602792847639178
deformable_vit,K80,cifar10,2,1.5953495020515305
deformable_vit,K80,TinyImageNet,3,3.961040526951387
deformable_vit,K80,cifar100,3,3.371446529865675
deformable_vit,K80,cifar10,3,1.4867714071596012
deformable_vit,K80,TinyImageNet,4,3.8448654858922073
deformable_vit,K80,cifar100,4,3.2010054368290826
deformable_vit,K80,cifar10,4,1.409515300883641
deformable_vit,K80,TinyImageNet,5,3.7490949185170654
deformable_vit,K80,cifar100,5,3.0336498427775256
deformable_vit,K80,cifar10,5,1.3638440077044662
deformable_vit,K80,TinyImageNet,6,3.616747934012901
deformable_vit,K80,cifar100,6,2.86816952231324
deformable_vit,K80,cifar10,6,1.298724820274772
deformable_vit,K80,TinyImageNet,7,3.503901870014796
deformable_vit,K80,cifar100,7,2.773839427695583
deformable_vit,K80,cifar10,7,1.2087707021602982
deformable_vit,K80,TinyImageNet,8,3.371292318837707
deformable_vit,K80,cifar100,8,2.6634492481867444
deformable_vit,K80,cifar10,8,1.1802313835294729
deformable_vit,K80,TinyImageNet,9,3.326304772233042
deformable_vit,K80,cifar100,9,2.56605403140489
deformable_vit,K80,cifar10,9,1.119860864039569
deformable_vit,K80,TinyImageNet,10,3.215509143699225
deformable_vit,K80,cifar100,10,2.4970101513338667
deformable_vit,K80,cifar10,10,1.0864067961326576
deformable_vit,K80,TinyImageNet,11,3.068143333769296
deformable_vit,K80,cifar100,11,2.4359224405956525
deformable_vit,K80,cifar10,11,1.0530819897647656
deformable_vit,K80,TinyImageNet,12,3.001336946754696
deformable_vit,K80,cifar100,12,2.398051346167256
deformable_vit,K80,cifar10,12,1.021395513428929
deformable_vit,K80,TinyImageNet,13,2.9525117465034736
deformable_vit,K80,cifar100,13,2.371357597508941
deformable_vit,K80,cifar10,13,0.959160452173103
deformable_vit,K80,TinyImageNet,14,2.8268238641746763
deformable_vit,K80,cifar100,14,2.329985413532718
deformable_vit,K80,cifar10,14,0.938339646273906
deformable_vit,K80,TinyImageNet,15,2.7626856463685194
deformable_vit,K80,cifar100,15,2.364665336911884
deformable_vit,K80,cifar10,15,0.9020015899470796
deformable_vit,K80,TinyImageNet,16,2.682022005753047
deformable_vit,K80,cifar100,16,2.3331472167879954
deformable_vit,K80,cifar10,16,0.9062611608243024
deformable_vit,K80,TinyImageNet,17,2.6338281095849063
deformable_vit,K80,cifar100,17,2.2846799947137404
deformable_vit,K80,cifar10,17,0.878373410894028
deformable_vit,K80,TinyImageNet,18,2.5761197889263303
deformable_vit,K80,cifar100,18,2.324530299266053
